Abaetetuba;Município;Abaetetuba
Abaetetuba;Endereço;Rua Manoel de Abreu, N 1756. Bairro Mutirão 
Abaetetuba;E-mail;"semeia@abaetetuba.pa.gov.br; ouvidoria@abaetetuba.pa.gov.br"
Abaetetuba;Telefone;(91)99380-3316
Abaetetuba;Link;https://www.abaetetuba.pa.gov.br/secretaria.php?sec=7
Abel Figueiredo;Município;Abel Figueiredo
Abel Figueiredo;Endereço;Rua Presidente Gaisel, N 170
Abel Figueiredo;E-mail;gabinete@abelfigueredo.com.br
Abel Figueiredo;Telefone;"(94)99298-4608; (94) 3342-1333 "
Abel Figueiredo;Link;https://abelfigueiredo.pa.gov.br/portal-da-transparencia/estrutura-organizacional/secretaria-municipal-de-meio-ambiente/
Acará;Município;Acará
Acará;Endereço;Avenida Fernando Guilhon, S/N. Bairro Vila Nova
Acará;E-mail;"soniaelidia.sematur@gmail.com; ouvidoria.acara@hotmail.com"
Acará;Telefone;(91)8816-4486
Acará;Link;https://acara.pa.gov.br/portal-da-transparencia/estrutura-organizacional/secretaria-de-meio-ambiente-e-turismo/
Afuá;Município;Afuá
Afuá;Endereço;Rua João Paulo II, S/N. Bairro Centro
Afuá;E-mail;semamb.afua@afua.pa.gov.br
Afuá;Telefone;"(91)99395-7163; (96)3689-1181"
Afuá;Link;https://afua.pa.gov.br/portal-da-transparencia/estrutura-organizacional/secretaria-municipal-de-meio-ambiente-semamb/
Água Azul do Norte;Município;Água Azul do Norte
Água Azul do Norte;Endereço;Avenida Lago Azul, S/N. Bairro Centro
Água Azul do Norte;E-mail;"semmaaguazul@hotmail.com; "
Água Azul do Norte;Telefone;"(94)99173-9768; (94) 99286-0875"
Água Azul do Norte;Link;https://aguaazuldonorte.pa.gov.br/secretarias/meio-ambiente/
Alenquer;Município;Alenquer
Alenquer;Endereço;Eloy Simões, N 751. Bairro Centro
Alenquer;E-mail;ouvidoria@alenquer.pa.gov.br
Alenquer;Telefone;(93)99241-1596
Alenquer;Link;https://alenquer.pa.gov.br/sema/
Almeirim;Município;Almeirim
Almeirim;Endereço;Rodovia Almeirim Panaicá, S/N. Bairro Matinha
Almeirim;E-mail;semaalmerim2017@gmail.com
Almeirim;Telefone;(93)98114-8314
Almeirim;Link;https://almeirim.pa.gov.br/portal-da-transparencia/estrutura-organizacional/secretaria-executiva-de-meio-ambiente-sema/
Altamira;Município;Altamira
Altamira;Endereço;Rua Abel Figueiredo, N 651. Bairro Aparecida 
Altamira;E-mail;"semat@altamira.pa.gov.br; semataltamira@hotmail.com"
Altamira;Telefone;"(93)99155-9804; (93)3515-2714; (93)3515-1835"
Altamira;Link;https://altamira.pa.gov.br/portal-da-transparencia/estrutura-organizacional/secretaria-municipal-de-meio-ambiente-e-turismo-semat/
Anajás;Município;Anajás
Anajás;Endereço;Travessa Francisco JR Filho, S/N. Bairro Cidade Nova 1
Anajás;E-mail;semmaanajas21@gmail.com
Anajás;Telefone;(91)98170-4339
Anajás;Link;https://anajas.pa.gov.br/portal-da-transparencia/estrutura-organizacional/secretaria-de-meio-ambiente/
Ananindeua;Município;Ananindeua
Ananindeua;Endereço;Avenida Cláudio Saunders, N 2100. Bairro Maguari
Ananindeua;E-mail;sema@ananindeua.pa.gov.br
Ananindeua;Telefone;(91)3073-2500
Ananindeua;Link;https://www.ananindeua.pa.gov.br/sema
Anapú;Município;Anapú
Anapú;Endereço;Rua Santo Agostinho, S/N. Complexo Administrativo Fernando Dourado (Antigo Hospital). Bairro Centro
Anapú;E-mail;semat.anapu@hotmail.com
Anapú;Telefone;(93)99150-7556
Anapú;Link;https://anapu.pa.gov.br/portal-da-transparencia/estrutura-organizacional/secretaria-municipal-de-meio-ambiente-e-turismo/ 
Augusto Corrêa;Município;Augusto Corrêa
Augusto Corrêa;Endereço;Avenida Magalhães Barata, N 122. Bairro Nazaré
Augusto Corrêa;E-mail;semmaaugustocorrea@gmail.com
Augusto Corrêa;Telefone;(91)98523-6472
Augusto Corrêa;Link;https://augustocorrea.pa.gov.br/portal-da-transparencia/estrutura-organizacional/secretaria-municipal-de-meio-ambiente/
Aurora do Pará;Município;Aurora do pará
Aurora do pará;Endereço;Rua Raimunda Mendes Queiroz, N 766. Bairro Vila Nova
Aurora do pará;E-mail;semaaurora6@gmail.com
Aurora do pará;Telefone;(91)9933-1749
Aurora do pará;Link;https://auroradopara.pa.gov.br/o-governo/estrutura-organizacional/secretaria-municipal-de-meio-ambiente/
Aveiro;Município;Aveiro
Aveiro;Endereço;Avenida Maria Pititinga de Santana, S/N. Bairro Centro
Aveiro;E-mail;demetriosantosjunior@hotmail.com
Aveiro;Telefone;(93)98129-0744
Aveiro;Link;https://aveiro.pa.gov.br/portal-da-transparencia/estrutura-organizacional/secretaria-municipal-de-mineracao-e-meio-ambiente/
Bagre;Município;Bagre
Bagre;Endereço;Avenida Barão do Rio Branco, N 2. Bairro Centro
Bagre;E-mail;popo@hotmail.com
Bagre;Telefone;(91)99155-5100
Bagre;Link;https://bagre.pa.gov.br/portal-da-transparencia/estrutura-organizacional/secretaria-de-meio-ambiente/
Baião;Município;Baião
Baião;Endereço;Avenida Santos Dumont, N 245. Bairro Cidade Nova
Baião;E-mail;semabaiao@gmail.com
Baião;Telefone;(91)98513-8023
Baião;Link;https://baiao.pa.gov.br/portal-da-transparencia/estrutura-organizacional/secretaria-executiva-de-meio-ambiente/
Bannach;Município;Bannach
Bannach;Endereço;Avenida Paraná, S/N. Bairro Centro
Bannach;E-mail;sec.meioambiente@bannach.pa.gov.br
Bannach;Telefone;(94)99287-5369
Bannach;Link;https://bannach.pa.gov.br/secretarias/meio-ambiente/
Barcarena;Município;Barcarena
Barcarena;Endereço;Rodivia PA 481, S/N. Complexo Administrativo Vila São Francisco
Barcarena;E-mail;semade@barcarena.pa.gov.br
Barcarena;Telefone;(91)99259-2007
Barcarena;Link;https://barcarena.pa.gov.br/o-governo/estrutura-organizacional/secretaria-municipal-de-meio-ambiente-e-desenvolvimento-economico/
Belém;Município;Belém
Belém;Endereço;Travessa Quintino Bocaiúva, N 2078. Bairro Reduto
Belém;E-mail;"denunciameioambiente@semma.pmb.pa.gov.br; oficiosemma@gmail.com"
Belém;Telefone;"(91)3039-8106; (91)98495-0277"
Belém;Link;https://semma.belem.pa.gov.br/
Belterra;Município;Belterra
Belterra;Endereço;Vila Americana, N 45. Bairro Centro 
Belterra;E-mail;semat@belterra.pa.gov.br
Belterra;Telefone;(93)99148-6863
Belterra;Link;https://www.belterra.pa.gov.br/mostrarNoticia.php?id_=62
Benevides;Município;Benevides
Benevides;Endereço;Rua Paul Begot, N 407. Bairro Centro
Benevides;E-mail;gabineteprefeitura@benevides.pa.gov.br
Benevides;Telefone;(91)98903-2512
Bom Jesus do Tocantins;Município;Bom Jesus do Tocantins
Bom Jesus do Tocantins;Endereço;Avenida Jarbas Passarinho. Bairro Centro 
Bom Jesus do Tocantins;E-mail;meioambiente@bomjesusdotocantins.pa.gov.br
Bom Jesus do Tocantins;Telefone;(94)3341-1125
Bom Jesus do Tocantins;Link;https://bomjesusdotocantins.pa.gov.br/o-governo/estrutura-organizacional/secretaria-municipal-de-meio-ambiente/
Bonito;Município;Bonito
Bonito;Endereço;Avenida Ruth Passarinho. Bairro Centro
Bonito;E-mail;"zaqueu_monteiro@hotmail.com; prefeituradebonito@outlook.com.br"
Bonito;Telefone;"(91)98542-9004; (91)98994-6321"
Bonito;Link;https://bonito.pa.gov.br/portal-da-transparencia/estrutura-organizacional/secretaria-municipal-de-meio-ambiente-sema/
Bragança;Município;Bragança
Bragança;Endereço;Passagem Nossa Sra. da Glória, S/N. Bairro Samauma
Bragança;E-mail;semma@braganca.pa.gov.br
Bragança;Telefone;(91)99902-1233
Bragança;Link;https://braganca.pa.gov.br/secretaria-municipal-de-meio-ambiente/
Brasil Novo;Município;Brasil Novo
Brasil Novo;Endereço;Travessa Maranhão, N 91 (esquina com a Vic. da 13). Bairro Cidade Nova
Brasil Novo;E-mail;Email: rocca66@gmail.com
Brasil Novo;Telefone;(93)99128-4582
Brasil Novo;Link;https://brasilnovo.pa.gov.br/portal-da-transparencia/estrutura-organizacional/%E2%80%8Bsecretaria-municipal-de-meio-ambiente-semma/
Breu Branco;Município;Breu Branco
Breu Branco;Endereço;Rua Argentina, N 19. Bairro Continental 
Breu Branco;Telefone;(94)9913-49512 
Breu Branco;E-mail;meioambiente@breubranco.pa.gov.br
Breves;Município;Breves
Breves;Endereço;Avenida Gurupá, N 168. Bairro Cidade nova
Breves;E-mail;semmabreves@hotmail.com
Breves;Telefone;(91)3783-2885
Breves;Link;https://breves.pa.gov.br/secretaria-municipal-de-meio-ambiente/
Bujarú;Município;Bujarú
Bujarú;Endereço;Avenida Antônio Rocha, N 118. Bairro Centro
Bujarú;E-mail;"Email: diogoalmeida.ep@gmail.com; pmbujaru.progresso@gmail.com"
Bujarú;Telefone;"(91)99923-6203;(91)3746-1221"
Bujarú;Link;https://bujaru.pa.gov.br/portal-da-transparencia/estrutura-organizacional/secretaria-municipal-de-meio-ambiente/
Cachoeira do Ararí;Município;Cachoeira do Ararí
Cachoeira do Ararí;Endereço;Avenida Deputado José Rodrigues Viana, N 785. Bairro Centro
Cachoeira do Ararí;E-mail;"julietemiranda2517@gmail.com; contato@cachoeiradoarari.pa.gov.br"
Cachoeira do Ararí;Telefone;"(91)984174463; (91)98436-3209"
Cachoeira do Ararí;Link;https://cachoeiradoarari.pa.gov.br/portal-da-transparencia/estrutura-organizacional/secretaria-municipal-de-meio-ambiente/
Cametá;Município;Cametá
Cametá;Endereço;Travessa São Benedito, N 159
Cametá;E-mail;cametasemma@gmail.com
Cametá;Telefone;(91)98429-7668
Cametá;Link;https://prefeituradecameta.pa.gov.br/portal-da-transparencia/estrutura-organizacional/secretaria-de-meio-ambiente/
Canaã dos Carajás;Município;Canaã dos Carajás
Canaã dos Carajás;Endereço;Rua Cumarú, S/N. Bairro Centro
